,0,1,2,3,4
216,15.272097,0.0,11.433676,4.4030933,0.0
217,25.59278,0.0,18.448977,7.215541,0.0
218,27.693338,0.0,19.424904,2.9496195,0.0
219,24.286036,0.0,14.477247,3.6258166,0.0
220,24.63216,0.0,17.6828,2.8622897,0.0
221,13.9872055,0.0,10.218086,4.293702,0.0
222,16.05941,0.0,11.477718,4.113575,0.0
223,21.245777,0.0,14.71944,5.096195,0.0
224,20.487047,0.0,14.4022045,5.180644,0.0
225,24.741543,0.0,17.145655,5.875048,0.0
226,26.405674,0.0,15.83069,3.8171215,0.0
227,19.438152,0.0,13.798363,2.1503892,0.0
228,20.53057,0.0,14.150488,4.0901756,0.0
229,24.952953,0.0,16.958368,4.819463,0.0
230,26.066471,0.0,18.170597,6.12813,0.0
231,24.097857,0.0,15.118763,3.7009683,0.0
232,22.289854,0.0,13.605753,3.0553153,0.0
233,14.012682,0.0,10.501867,4.5823097,0.0
234,14.883566,0.0,10.97979,1.1167251,0.0
235,21.842888,0.0,15.104315,5.5362053,0.0
236,24.872965,0.0,15.878647,4.196732,0.0
237,16.42646,0.0,11.435329,1.515181,0.0
238,22.940939,0.0,16.637213,2.3640182,0.0
239,25.79822,0.0,15.232002,3.773132,0.0
240,21.701124,0.0,15.197823,2.0625954,0.0
241,18.459885,0.0,13.218712,5.0159974,0.0
242,18.200949,0.0,13.194035,5.0777235,0.0
243,22.753397,0.0,13.738678,3.271858,0.0
244,14.5340185,0.0,10.945362,1.2951297,0.0
245,19.944786,0.0,14.290777,2.1405184,0.0
246,14.84399,0.0,10.69113,4.710586,0.0
247,9.623371,0.0,7.59403,0.3149045,0.0
248,13.08017,0.0,9.718025,4.220619,0.0
249,13.911892,0.0,10.109385,1.1450354,0.0
250,10.805329,0.0,8.015543,3.6293118,0.0
251,11.492099,0.0,8.3731365,1.0720628,0.0
252,13.323218,0.0,9.989813,4.3566146,0.0
253,14.272226,0.0,10.450092,1.1594039,0.0
254,16.52111,0.0,11.679184,1.9323875,0.0
255,13.270889,0.0,10.0982895,0.7833563,0.0
256,14.33791,0.0,10.390625,1.5005846,0.0
257,14.860654,0.0,10.473532,1.6532956,0.0
258,14.184297,0.0,10.545216,4.7693,0.0
259,16.7995,0.0,12.436739,1.4095433,0.0
260,14.188588,0.0,10.478645,4.805386,0.0
261,15.079955,0.0,11.162201,1.1907399,0.0
262,16.335289,0.0,11.872915,5.062338,0.0
263,17.127005,0.0,12.690056,1.5260682,0.0
264,19.982111,0.0,14.280123,2.012183,0.0
265,17.09527,0.0,12.077534,4.6535597,0.0
266,14.792398,0.0,10.882467,1.5119646,0.0
267,24.640131,0.0,17.371275,2.4774644,0.0
268,19.763258,0.0,14.034946,5.4295106,0.0
269,14.469413,0.0,10.732349,5.05592,0.0
270,15.372613,0.0,11.376261,1.3624643,0.0
271,18.519281,0.0,13.32622,4.90353,0.0
272,20.008398,0.0,14.287895,5.1121407,0.0
273,20.868992,0.0,14.79557,2.0880497,0.0
274,20.568302,0.0,14.9340515,1.7662475,0.0
275,16.760708,0.0,11.658913,4.3011255,0.0
276,14.66019,0.0,11.134052,5.114227,0.0
277,15.856799,0.0,11.887026,0.7202678,0.0
278,14.09516,0.0,10.591249,1.1075654,0.0
279,18.764624,0.0,13.658743,2.0929317,0.0
280,18.07371,0.0,13.213547,5.320183,0.0
281,15.2156925,0.0,11.280666,4.8717484,0.0
282,16.208311,0.0,11.719795,1.4726164,0.0
283,9.811094,0.0,7.69207,4.0428696,0.0
284,10.704791,0.0,8.509678,0.30435774,0.0
285,12.464547,0.0,9.111683,4.080917,0.0
286,13.087986,0.0,9.770716,1.1819626,0.0
287,20.300938,0.0,14.377384,2.5940542,0.0
288,8.645776,0.0,7.0632553,4.036058,0.0
289,9.717399,0.0,7.734489,0.0,0.0
290,13.127791,0.0,9.894913,4.576235,0.0
291,14.072231,0.0,10.586023,0.7744146,0.0
292,10.003981,0.0,7.7486463,3.9791276,0.0
293,11.7681675,0.0,8.995998,4.0197835,0.0
294,12.739093,0.0,9.305403,0.9577788,0.0
295,10.797347,0.0,8.372263,4.192515,0.0
296,10.836726,0.0,8.489187,0.27779382,0.0
297,15.80257,0.0,11.63225,4.9096246,0.0
298,18.519684,0.0,13.202671,5.19367,0.0
299,11.652769,0.0,8.765068,4.1995907,0.0
300,15.384431,0.0,11.221886,4.8174047,0.0
301,16.109385,0.0,12.081551,1.4097282,0.0
302,7.711326,0.0,6.079545,3.2132518,0.0
303,8.337027,0.0,6.8017964,0.2309556,0.0
304,21.508013,0.0,15.238562,5.865323,0.0
305,18.803255,0.0,13.936018,5.875541,0.0
306,19.6565,0.0,15.110468,1.2692447,0.0
307,25.744606,0.0,18.34254,6.4638257,0.0
308,18.636524,0.0,13.262608,5.3035307,0.0
309,19.468185,0.0,14.037359,1.6255621,0.0
310,27.007612,0.0,18.933548,6.522443,0.0
311,10.788795,0.0,8.387871,4.178965,0.0
312,11.598864,0.0,9.169857,0.5600502,0.0
313,16.073803,0.0,12.066381,0.7809926,0.0
314,11.0957985,0.0,7.788239,2.6517828,0.0
315,11.529085,0.0,8.506193,3.885864,0.0
316,9.194067,0.0,6.334398,2.1358843,0.0
317,8.628774,0.0,5.8997636,2.0453331,0.0
318,17.328566,0.0,12.306229,4.2495694,0.0
319,26.362316,0.0,18.077848,6.0797825,0.0
320,22.288237,0.0,16.059551,5.6627445,0.0
321,21.331139,0.0,14.997194,5.1500697,0.0
322,20.79805,0.0,14.813606,2.7829866,0.0
323,17.326448,0.0,12.121796,4.4825277,0.0
324,21.46216,0.0,15.224007,2.3871715,0.0
325,19.403683,0.0,13.619766,4.7601943,0.0
326,14.657452,0.0,10.673626,1.0117368,0.0
327,18.736023,0.0,13.188408,2.2392998,0.0
328,19.453135,0.0,14.36783,5.5984654,0.0
329,26.868052,0.0,18.807116,6.04464,0.0
330,27.318018,0.0,19.353857,6.263515,0.0
331,19.731968,0.0,14.284897,2.6074555,0.0
332,26.169844,0.0,17.864704,5.7575326,0.0
